,predicted_temp
728,19.724609375
729,19.32586669921875
730,19.66796875
731,19.69140625
732,20.21484375
733,18.984375
734,20.765625
735,19.35546875
736,19.0
737,19.05859375
738,20.37109375
739,19.328125
740,14.578125
741,16.9375
742,15.265625
743,15.14453125
744,15.6875
745,17.6796875
746,19.98828125
747,17.80859375
748,20.08203125
749,19.8828125
750,20.20703125
751,20.765625
752,20.2578125
753,20.228515625
754,20.140625
755,20.931640625
756,20.46875
757,19.61328125
758,19.8203125
759,20.1953125
760,19.78125
761,18.96484375
762,19.880859375
763,19.3076171875
764,20.240234375
765,19.3359375
766,18.5361328125
767,18.4208984375
768,17.9150390625
769,18.1806640625
770,22.47216796875
771,19.0146484375
772,18.669921875
773,18.40234375
774,19.1669921875
775,22.580078125
776,19.4765625
777,20.140625
778,23.08447265625
779,21.78173828125
780,18.990234375
781,18.3408203125
782,19.486328125
783,26.751953125
784,24.88671875
785,41.1708984375
786,54.89697265625
787,43.751953125
788,18.98046875
789,19.865234375
790,16.77734375
791,18.47314453125
792,16.69921875
793,20.583984375
794,20.2578125
795,19.2265625
796,19.208984375
797,17.671875
798,17.27734375
799,17.32275390625
800,17.5263671875
801,14.14892578125
802,16.5966796875
803,16.6298828125
804,16.2548828125
805,15.94140625
806,16.49365234375
807,16.079254150390625
808,16.84423828125
809,17.224609375
810,18.4267578125
811,17.845703125
812,19.083984375
813,19.943359375
814,19.4375
815,19.63671875
816,19.208984375
817,19.4296875
818,19.55078125
819,19.26025390625
820,19.42218017578125
821,19.462890625
822,19.3017578125
823,19.673828125
824,19.6375732421875
825,19.7783203125
826,477.645751953125
827,-207134.07830810547
828,-115553.97283935547
829,22.7958984375
830,20.8505859375
831,20.4326171875
832,20.6689453125
833,22.00732421875
834,21.517578125
835,20.609375
836,20.47265625
837,21.34375
838,18.11328125
839,16.0478515625
840,16.260009765625
841,15.859375
842,16.5244140625
843,15.98291015625
844,19.17578125
845,22.646484375
846,23.4658203125
847,21.386962890625
848,18.1953125
849,18.802734375
850,19.048828125
851,19.44140625
852,20.955078125
853,21.19140625
854,21.412109375
855,20.853515625
856,21.1484375
857,20.365234375
858,21.26953125
859,21.056640625
860,19.9375
861,21.7109375
862,20.85546875
863,20.033203125
864,20.26953125
865,20.2109375
866,21.03515625
867,19.34375
868,20.056640625
869,21.2890625
870,20.3359375
871,20.0546875
872,19.962890625
873,19.90234375
874,19.8046875
875,20.6796875
876,20.3642578125
877,20.5771484375
878,20.1171875
879,20.6669921875
880,20.7734375
881,20.5087890625
